sample_code,Treg_cluster
TCGA-EM-A3SY,1
TCGA-FF-A7CW,0
TCGA-ZG-A9L1,1
TCGA-V5-AASX,1
TCGA-CN-5361,0
TCGA-AB-2967,0
TCGA-EX-A3L1,0
TCGA-50-5933,0
TCGA-FT-A3EE,1
TCGA-IE-A4EH,1
TCGA-A2-A04Y,0
TCGA-43-3394,0
TCGA-ZF-AA4T,1
TCGA-MQ-A6BQ,0
TCGA-AU-6004,0
TCGA-F4-6806,0
TCGA-29-1769,0
TCGA-78-7155,1
TCGA-2G-AAM4,0
TCGA-CJ-4899,0
TCGA-E7-A3X6,0
TCGA-5M-AAT4,1
TCGA-EL-A3ZK,0
TCGA-24-1474,1
TCGA-3H-AB3U,0
TCGA-CM-6167,0
TCGA-14-0736,0
TCGA-CW-5590,0
TCGA-CR-7370,0
TCGA-BQ-5888,0
TCGA-B6-A0RH,1
TCGA-EL-A3ZG,1
TCGA-EL-A3CR,0
TCGA-A8-A07W,1
TCGA-QR-A6GY,1
TCGA-VD-A8KA,1
TCGA-DU-A5TR,1
TCGA-YL-A8HJ,0
TCGA-CV-6960,1
TCGA-44-6774,0
TCGA-GU-A762,0
TCGA-2Z-A9JK,0
TCGA-CS-5397,1
TCGA-AC-A23H,0
TCGA-AX-A3G8,1
TCGA-OR-A5K3,1
TCGA-AB-2892,0
TCGA-AR-A1AS,1
TCGA-A1-A0SE,0
TCGA-CZ-4860,0
TCGA-BJ-A28S,1
TCGA-CG-5716,0
TCGA-09-2048,1
TCGA-HU-A4GQ,0
TCGA-E1-5322,1
TCGA-73-4670,1
TCGA-ZG-A9L5,1
TCGA-CN-5365,0
TCGA-MT-A7BN,0
TCGA-D3-A51G,0
TCGA-AB-2976,0
TCGA-BR-4371,0
TCGA-B0-5700,0
TCGA-97-7552,0
TCGA-BF-A5ER,1
TCGA-JW-A5VI,0
TCGA-XK-AAJT,1
TCGA-56-A4BW,0
TCGA-HF-A5NB,0
TCGA-BH-A0HA,0
TCGA-CV-6956,1
TCGA-GL-6846,1
TCGA-AA-3489,0
TCGA-24-1470,0
TCGA-36-1580,0
TCGA-OL-A66O,1
TCGA-HP-A5N0,1
TCGA-AC-A8OP,0
TCGA-CR-7369,0
TCGA-55-A48Z,0
TCGA-BH-A0HK,1
TCGA-HT-8558,1
TCGA-FD-A43S,0
TCGA-29-1710,0
TCGA-B6-A0X7,1
TCGA-EW-A1P0,0
TCGA-DE-A7U5,0
TCGA-D3-A5GU,0
TCGA-XF-A8HE,0
TCGA-QK-A6IG,0
TCGA-DX-A1KU,0
TCGA-BT-A42F,0
TCGA-61-1900,1
TCGA-Y8-A894,1
TCGA-77-7337,0
TCGA-S9-A6U8,1
TCGA-DC-5337,0
TCGA-CV-7261,0
TCGA-FR-A8YD,1
TCGA-KL-8345,1
TCGA-GM-A3XL,0
TCGA-ZH-A8Y5,1
TCGA-EL-A3T9,0
TCGA-OR-A5J2,1
TCGA-BR-8363,0
TCGA-T2-A6X2,0
TCGA-CR-6492,0
TCGA-G2-A3IB,1
TCGA-EW-A1PC,1
TCGA-QR-A707,1
TCGA-CJ-5675,0
TCGA-CU-A3KJ,0
TCGA-A7-A0CH,1
TCGA-CM-6168,0
TCGA-GN-A4U8,0
TCGA-E9-A2JS,1
TCGA-EA-A1QT,0
TCGA-E9-A22D,0
TCGA-24-2033,1
TCGA-W4-A7U4,0
TCGA-G4-6314,0
TCGA-4E-A92E,0
TCGA-EL-A3ZL,1
TCGA-XY-A8S3,1
TCGA-PA-A5YG,0
TCGA-HM-A6W2,1
TCGA-EW-A6SB,0
TCGA-44-A47A,0
TCGA-B6-A0WV,1
TCGA-WB-A81J,1
TCGA-2G-AAL5,1
TCGA-HE-7129,1
TCGA-05-4398,0
TCGA-HD-7753,0
TCGA-BA-5559,0
TCGA-KK-A59X,1
TCGA-LN-A4MQ,1
TCGA-UL-AAZ6,1
TCGA-B6-A0RG,1
TCGA-SP-A6QC,0
TCGA-EJ-7794,0
TCGA-SJ-A6ZI,0
TCGA-EJ-7315,0
TCGA-MH-A562,0
TCGA-24-1562,0
TCGA-FE-A235,1
TCGA-AJ-A3NE,0
TCGA-EM-A3SU,0
TCGA-WC-A884,1
TCGA-HT-7874,1
TCGA-77-8007,0
TCGA-FS-A1ZB,0
TCGA-A7-A0DC,1
TCGA-DM-A1HA,1
TCGA-24-2297,1
TCGA-GM-A2DD,0
TCGA-77-7463,1
TCGA-S9-A6TV,1
TCGA-BH-A6R9,0
TCGA-CJ-4644,0
TCGA-D3-A2J8,0
TCGA-E2-A158,1
TCGA-39-5039,0
TCGA-DK-A3IS,1
TCGA-BR-4363,0
TCGA-SP-A6QH,1
TCGA-64-5781,0
TCGA-B0-4712,1
TCGA-HN-A2OB,1
TCGA-CQ-7068,0
TCGA-D8-A141,0
TCGA-D8-A1JN,0
TCGA-QC-AA9N,1
TCGA-EM-A2CJ,1
TCGA-49-AARN,0
TCGA-CV-5444,0
TCGA-AR-A24P,0
TCGA-18-5595,1
TCGA-EA-A97N,1
TCGA-SX-A7SM,1
TCGA-DJ-A4V5,0
TCGA-DD-AAEI,1
TCGA-AZ-4615,0
TCGA-99-8028,0
TCGA-VR-A8EO,0
TCGA-HE-A5NK,0
TCGA-CV-7424,1
TCGA-ET-A25G,1
TCGA-AX-A2HD,1
TCGA-HT-7616,0
TCGA-CR-7395,0
TCGA-DJ-A2PS,0
TCGA-BR-7196,0
TCGA-23-1113,1
TCGA-GM-A3XG,1
TCGA-24-2290,1
TCGA-ET-A39J,1
TCGA-E9-A1N9,0
TCGA-B6-A0I9,0
TCGA-CN-6022,0
TCGA-E8-A242,0
TCGA-DJ-A2Q5,0
TCGA-DW-7963,0
TCGA-FA-A7DS,0
TCGA-E2-A1L9,0
TCGA-NC-A5HE,0
TCGA-EA-A3QD,0
TCGA-E5-A4U1,1
TCGA-OE-A75W,0
TCGA-DX-AB3C,1
TCGA-BP-4762,0
TCGA-AR-A1AP,0
TCGA-KT-A7W1,1
TCGA-44-3919,0
TCGA-39-5035,0
TCGA-CV-6952,0
TCGA-BR-4367,0
TCGA-B0-5109,0
TCGA-BH-A0H5,0
TCGA-OK-A5Q2,0
TCGA-B5-A0K9,0
TCGA-CV-A45P,0
TCGA-BH-A0E6,0
TCGA-D8-A1JA,1
TCGA-56-7221,1
TCGA-4G-AAZT,1
TCGA-VR-A8EX,0
TCGA-CQ-6228,1
TCGA-P5-A5F2,1
TCGA-BP-4352,0
TCGA-99-8032,0
TCGA-BH-A0BW,0
TCGA-62-A470,1
TCGA-26-5136,1
TCGA-H7-8502,1
TCGA-CV-A6JN,0
TCGA-B4-5843,1
TCGA-OR-A5LN,1
TCGA-RC-A7SB,1
TCGA-29-1695,1
TCGA-H2-A2K9,1
TCGA-G9-7509,1
TCGA-FV-A2QR,1
TCGA-19-2629,1
TCGA-GS-A9TT,0
TCGA-B2-4098,0
TCGA-D7-8575,0
TCGA-91-6847,1
TCGA-58-8386,0
TCGA-HT-7607,1
TCGA-CR-7380,0
TCGA-43-2576,0
TCGA-DJ-A2PW,1
TCGA-N8-A56S,1
TCGA-BR-8367,0
TCGA-ET-A3BW,1
TCGA-BK-A13B,1
TCGA-06-0238,1
TCGA-QU-A6IL,1
TCGA-FB-AAQ3,0
TCGA-22-4593,0
TCGA-3B-A9HX,0
TCGA-CJ-5679,0
TCGA-C5-A8YR,0
TCGA-AQ-A54O,0
TCGA-EL-A3H1,0
TCGA-CV-7097,0
TCGA-E9-A5FK,0
TCGA-KL-8346,1
TCGA-FE-A239,1
TCGA-DQ-7594,0
TCGA-XF-A8HF,1
TCGA-KQ-A41P,1
TCGA-BP-4766,1
TCGA-DD-AACT,0
TCGA-BL-A13I,0
TCGA-DX-A7EU,0
TCGA-B6-A0WZ,1
TCGA-33-6737,0
TCGA-C8-A135,0
TCGA-XU-A92W,0
TCGA-55-8299,0
TCGA-39-5027,1
TCGA-HD-7917,1
TCGA-22-5485,1
TCGA-EL-A4K1,1
TCGA-A6-2686,0
TCGA-CV-7416,1
TCGA-BH-A0E2,0
TCGA-DJ-A2PX,0
TCGA-BH-A0BJ,0
TCGA-BH-A203,0
TCGA-BJ-A190,1
TCGA-DJ-A3VM,1
TCGA-V4-A9F7,1
TCGA-S6-A8JY,0
TCGA-13-A5FT,1
TCGA-IB-AAUW,0
TCGA-WB-A81M,1
TCGA-HT-7873,1
TCGA-AH-6643,1
TCGA-55-A491,0
TCGA-FY-A3NM,1
TCGA-06-0749,1
TCGA-N9-A4Q1,1
TCGA-46-6025,0
TCGA-FE-A236,1
TCGA-ZF-AA4W,1
TCGA-AB-2818,0
TCGA-UY-A9PA,0
TCGA-ET-A3DP,0
TCGA-HT-7603,1
TCGA-AJ-A3NF,0
TCGA-4V-A9QT,0
TCGA-HC-7752,1
TCGA-FU-A40J,0
TCGA-B9-4116,0
TCGA-W5-AA2R,1
TCGA-BH-A0C7,0
TCGA-50-6595,0
TCGA-DB-A64P,1
TCGA-BP-4981,0
TCGA-VS-A9V5,1
TCGA-AK-3428,1
TCGA-CR-7373,0
TCGA-G4-6311,1
TCGA-BH-A8FZ,0
TCGA-S3-AA17,0
TCGA-DF-A2L0,1
TCGA-CI-6619,0
TCGA-B7-A5TI,0
TCGA-D8-A13Z,0
TCGA-BA-5152,0
TCGA-DD-AAEE,1
TCGA-G8-6325,0
TCGA-BT-A20N,1
TCGA-DZ-6132,0
TCGA-ER-A19M,0
TCGA-FU-A3EO,0
TCGA-L5-A88T,0
TCGA-QK-A6II,1
TCGA-BH-A0DV,1
TCGA-DX-A48O,1
TCGA-13-1512,0
TCGA-23-2078,0
TCGA-A7-A6VX,1
TCGA-VS-A8Q9,0
TCGA-DD-A39V,0
TCGA-EJ-A65F,1
TCGA-95-A4VP,0
TCGA-BP-4340,0
TCGA-A6-2682,0
TCGA-EE-A3AF,0
TCGA-HC-8261,0
TCGA-AX-A3G3,0
TCGA-85-A512,1
TCGA-ET-A25P,1
TCGA-DJ-A3VI,1
TCGA-55-8302,0
TCGA-44-4112,0
TCGA-EJ-A65E,1
TCGA-AF-3911,0
TCGA-UF-A7JJ,0
TCGA-KN-8419,1
TCGA-05-4430,0
TCGA-AR-A255,0
TCGA-WB-A81F,1
TCGA-V4-A9EQ,1
TCGA-HZ-7919,0
TCGA-CN-5366,0
TCGA-AR-A1AT,0
TCGA-E5-A2PC,1
TCGA-A2-A0CU,1
TCGA-V9-A7HT,0
TCGA-YL-A8HM,0
TCGA-CD-A486,0
TCGA-DA-A95Y,1
TCGA-UY-A9PE,1
TCGA-CQ-7071,0
TCGA-D1-A3DG,1
TCGA-XF-A9SV,1
TCGA-24-1924,0
TCGA-DX-A6BG,0
TCGA-NA-A4QY,1
TCGA-EE-A184,0
TCGA-E7-A6MF,1
TCGA-MM-A84U,0
TCGA-CV-6933,0
TCGA-LN-A8HZ,1
TCGA-BH-A1ET,0
TCGA-DS-A0VL,0
TCGA-63-6202,0
TCGA-SB-A76C,0
TCGA-FS-A1YY,1
TCGA-46-3767,0
TCGA-EE-A3J4,1
TCGA-2G-AALO,0
TCGA-E2-A1IH,0
TCGA-13-1496,0
TCGA-B0-5095,0
TCGA-CI-6622,1
TCGA-BP-4167,0
TCGA-HW-7486,1
TCGA-ZP-A9D2,1
TCGA-BH-A18R,0
TCGA-BA-7269,0
TCGA-WZ-A8D5,0
TCGA-HU-A4G3,1
TCGA-OR-A5KY,1
TCGA-ER-A19A,0
TCGA-NH-A6GC,1
TCGA-DX-A48K,1
TCGA-DD-A73B,1
TCGA-AC-A4ZE,1
TCGA-P5-A5F1,1
TCGA-DK-AA6X,0
TCGA-AB-2877,0
TCGA-BR-7722,0
TCGA-BI-A0VR,0
TCGA-BP-4344,0
TCGA-AR-A24H,0
TCGA-F4-6570,0
TCGA-E8-A432,1
TCGA-MZ-A5BI,0
TCGA-EJ-8474,1
TCGA-A6-2684,0
TCGA-DU-7011,1
TCGA-G4-6627,0
TCGA-J9-A8CP,1
TCGA-ZF-A9R9,0
TCGA-P8-A6RX,1
TCGA-JY-A6FE,0
TCGA-A8-A099,1
TCGA-CM-6679,0
TCGA-KL-8342,1
TCGA-G8-6907,0
TCGA-HV-A5A4,0
TCGA-DC-6157,1
TCGA-NQ-A638,0
TCGA-EL-A3ZR,0
TCGA-VS-A9UU,0
TCGA-66-2790,0
TCGA-75-7027,0
TCGA-V1-A8WS,1
TCGA-CE-A3MD,1
TCGA-HU-A4GD,0
TCGA-VQ-A94U,1
TCGA-LK-A4O0,0
TCGA-XF-AAN1,1
TCGA-FV-A4ZP,0
TCGA-KN-8435,1
TCGA-A6-4105,0
TCGA-P5-A77X,1
TCGA-NC-A5HI,0
TCGA-ZJ-AAXN,0
TCGA-BP-4781,0
TCGA-CV-6937,0
TCGA-AJ-A3QS,0
TCGA-DD-AACS,1
TCGA-MT-A67F,0
TCGA-VS-A9U6,0
TCGA-EB-A6QZ,1
TCGA-IQ-7631,1
TCGA-CC-A9FV,0
TCGA-38-4627,0
TCGA-D3-A8GQ,1
TCGA-RY-A843,1
TCGA-A8-A09R,0
TCGA-DK-AA6S,0
TCGA-V1-A9Z8,1
TCGA-F4-6459,1
TCGA-3S-A8YW,0
TCGA-VQ-A8PJ,0
TCGA-KQ-A41S,1
TCGA-4Z-AA7O,0
TCGA-77-A5G6,1
TCGA-55-8507,0
TCGA-DJ-A3UN,1
TCGA-HW-7493,1
TCGA-CC-5261,0
TCGA-C5-A2LX,0
TCGA-22-5491,0
TCGA-CR-6471,0
TCGA-VM-A8CA,1
TCGA-EW-A6SC,0
TCGA-B0-5699,0
TCGA-37-5819,0
TCGA-DU-7015,1
TCGA-MQ-A4LJ,0
TCGA-C5-A1M8,1
TCGA-C5-A7CJ,0
TCGA-22-A5C4,0
TCGA-HB-A2OT,1
TCGA-85-A4CL,0
TCGA-TM-A7C5,1
TCGA-EL-A3ZS,0
TCGA-DX-A3UB,1
TCGA-BP-4801,0
TCGA-D8-A1XC,1
TCGA-DU-8162,1
TCGA-TM-A84O,1
TCGA-06-5410,1
TCGA-DC-6158,0
TCGA-FW-A3TU,0
TCGA-69-8254,0
TCGA-3T-AA9L,0
TCGA-EM-A3FM,0
TCGA-GH-A9DA,0
TCGA-TN-A7HL,0
TCGA-G9-6363,1
TCGA-3B-A9HT,0
TCGA-AB-2896,0
TCGA-CN-4742,0
TCGA-BH-A1FJ,1
TCGA-FR-A3YO,1
TCGA-DD-AACX,1
TCGA-G7-A8LD,1
TCGA-DJ-A3UY,0
TCGA-EW-A1PE,0
TCGA-69-7979,1
TCGA-E2-A1II,0
TCGA-S3-AA14,1
TCGA-CR-7392,0
TCGA-S9-A7R3,1
TCGA-A8-A09B,1
TCGA-60-2714,0
TCGA-GN-A9SD,0
TCGA-2G-AAFO,0
TCGA-AR-A5QP,0
TCGA-E2-A15K,1
TCGA-NF-A4WX,1
TCGA-DD-AAE0,0
TCGA-D9-A6EG,1
TCGA-E9-A6HE,0
TCGA-BR-8291,0
TCGA-DD-AADA,0
TCGA-TQ-A7RN,1
TCGA-ZM-AA0B,0
TCGA-GL-A9DE,1
TCGA-CJ-5676,0
TCGA-BH-A0HI,1
TCGA-AB-2985,0
TCGA-XE-AANI,0
TCGA-ET-A3DT,0
TCGA-DD-A1EI,0
TCGA-MY-A5BF,0
TCGA-E9-A1ND,0
TCGA-BP-4790,0
TCGA-CZ-5465,1
TCGA-BP-5008,0
TCGA-BP-4170,0
TCGA-AJ-A3BK,0
TCGA-04-1530,0
TCGA-FS-A4FC,0
TCGA-CR-6480,0
TCGA-EL-A3D1,1
TCGA-SP-A6QI,1
TCGA-A2-A0CS,1
TCGA-28-2513,1
TCGA-D3-A1Q6,0
TCGA-BC-A5W4,1
TCGA-V4-A9EF,1
TCGA-JU-AAVI,0
TCGA-QR-A70R,1
TCGA-OL-A66P,0
TCGA-NG-A4VW,1
TCGA-EE-A3JA,0
TCGA-A2-A1G4,1
TCGA-E2-A105,1
TCGA-55-7573,0
TCGA-N5-A4RA,1
TCGA-WB-A80M,1
TCGA-L5-A4OR,0
TCGA-25-2042,0
TCGA-CV-A45W,0
TCGA-OR-A5L4,1
TCGA-Y8-A8RY,1
TCGA-B0-5085,0
TCGA-YU-AA61,0
TCGA-13-1499,0
TCGA-BJ-A3PR,0
TCGA-SH-A7BD,1
TCGA-H2-A422,1
TCGA-EY-A549,0
TCGA-DX-A6YU,0
TCGA-P5-A735,1
TCGA-AB-2994,0
TCGA-37-4129,1
TCGA-VQ-A928,0
TCGA-D5-6931,0
TCGA-4Z-AA87,0
TCGA-BC-A10T,1
TCGA-C4-A0F6,1
TCGA-43-5668,0
TCGA-FB-AAQ0,1
TCGA-BF-AAP1,1
TCGA-A2-A0EV,0
TCGA-BH-A18M,0
TCGA-HT-7691,1
TCGA-18-4083,0
TCGA-FG-A6J1,1
TCGA-YD-A9TB,0
TCGA-CV-7104,0
TCGA-UF-A7JC,1
TCGA-AB-2870,0
TCGA-A8-A08A,0
TCGA-CD-8526,0
TCGA-BR-7703,0
TCGA-W8-A86G,1
TCGA-AL-3471,1
TCGA-HW-7489,1
TCGA-YT-A95D,0
TCGA-AB-2835,1
TCGA-67-3770,0
TCGA-YF-AA3M,1
TCGA-76-4929,1
TCGA-2Y-A9H6,0
TCGA-EE-A2MU,0
TCGA-AB-2981,0
TCGA-SN-A84W,1
TCGA-A6-5656,0
TCGA-43-8115,0
TCGA-3A-A9IX,0
TCGA-H9-A6BX,0
TCGA-DU-6402,1
TCGA-CZ-5461,1
TCGA-Q1-A73P,0
TCGA-V4-A9EI,1
TCGA-HT-7684,1
TCGA-D8-A1XL,0
TCGA-ER-A3EV,0
TCGA-E8-A413,0
TCGA-D3-A1Q9,0
TCGA-BA-6871,0
TCGA-HT-8104,1
TCGA-CN-6017,0
TCGA-CC-A7IH,1
TCGA-D7-A747,0
TCGA-A4-7585,0
TCGA-TS-A7P6,0
TCGA-3A-A9IO,1
TCGA-DD-A4NG,0
TCGA-BP-5170,0
TCGA-FN-7833,1
TCGA-KN-8436,1
TCGA-C5-A8XK,1
TCGA-43-A474,1
TCGA-HT-7473,1
TCGA-06-0645,1
TCGA-AB-2884,0
TCGA-33-AASI,0
TCGA-DM-A1DA,1
TCGA-IB-7647,0
TCGA-BJ-A2N9,0
TCGA-BH-A1EO,1
TCGA-EE-A2M5,0
TCGA-HF-7131,0
TCGA-CF-A7I0,1
TCGA-EK-A3GN,1
TCGA-WJ-A86L,1
TCGA-AB-2998,1
TCGA-DX-AB2X,1
TCGA-HC-A632,0
TCGA-MJ-A850,1
TCGA-C5-A907,0
TCGA-49-4506,0
TCGA-HT-8019,1
TCGA-BQ-5877,0
TCGA-BR-6564,0
TCGA-B2-5633,0
TCGA-BH-A0BZ,0
TCGA-A2-A0ER,1
TCGA-IG-A8O2,0
TCGA-AX-A1C7,1
TCGA-TQ-A7RU,1
TCGA-BP-4982,0
TCGA-EE-A2GP,0
TCGA-XF-AAMG,1
TCGA-CZ-4864,1
TCGA-2G-AAG0,0
TCGA-FS-A1Z4,0
TCGA-EO-A22X,1
TCGA-B0-5088,0
TCGA-X7-A8DB,0
TCGA-66-2785,0
TCGA-KU-A6H8,0
TCGA-OL-A66K,1
TCGA-P4-A5E8,1
TCGA-C5-A2M2,1
TCGA-Q9-A6FW,0
TCGA-IN-7806,0
TCGA-BP-4325,0
TCGA-QK-A8Z8,1
TCGA-CQ-5326,1
TCGA-DB-A4XF,1
TCGA-24-1417,0
TCGA-C5-A7CM,1
TCGA-4K-AAAL,0
TCGA-G9-6367,1
TCGA-A4-A5Y1,1
TCGA-Q2-A5QZ,1
TCGA-G9-6342,1
TCGA-KU-A66T,1
TCGA-DD-AAVW,0
TCGA-CJ-4905,0
TCGA-EP-A2KC,1
TCGA-MT-A51W,0
TCGA-LN-A7HY,0
TCGA-KK-A7AQ,1
TCGA-WB-A81H,1
TCGA-G7-6790,1
TCGA-XY-A89B,0
TCGA-CC-A7IL,1
TCGA-EW-A1OX,1
TCGA-BT-A20P,1
TCGA-S3-AA10,0
TCGA-AB-2978,0
TCGA-YZ-A984,1
TCGA-EJ-A65M,1
TCGA-BP-5174,0
TCGA-KN-8427,0
TCGA-QR-A705,1
TCGA-20-1684,1
TCGA-N8-A4PI,1
TCGA-05-4402,0
TCGA-AA-3518,0
